borrower_id,age,income,home_ownership,employment_length,loan_purpose,loan_amount,debt_to_income,credit_history_length,historical_default,default
29,24,65000,RENT,6,HOMEIMPROVEMENT,32500,0.5,3,N,1
30,21,11389,OTHER,5,EDUCATION,4000,0.35,2,Y,1
31,21,11520,OWN,5,MEDICAL,2000,0.17,3,N,1
32,25,120000,RENT,2,VENTURE,32000,0.27,2,N,0
33,26,95000,RENT,7,HOMEIMPROVEMENT,31050,0.33,3,Y,1
34,25,306000,RENT,2,DEBTCONSOLIDATION,24250,0.08,3,N,0
35,26,300000,MORTGAGE,10,MEDICAL,7800,0.03,4,N,0
36,21,12000,OWN,5,EDUCATION,2500,0.21,4,N,1
37,22,48000,RENT,1,EDUCATION,30000,0.62,2,N,1
38,24,64000,RENT,8,DEBTCONSOLIDATION,30000,0.47,3,Y,1
39,25,75000,RENT,4,HOMEIMPROVEMENT,30000,0.4,4,Y,1
40,23,71500,RENT,3,DEBTCONSOLIDATION,30000,0.42,4,N,1
41,26,62050,RENT,6,MEDICAL,30000,0.48,2,N,1
42,24,12000,OWN,4,VENTURE,2500,0.21,3,N,1
43,26,300000,MORTGAGE,10,VENTURE,20000,0.07,4,N,0
44,23,300000,OWN,1,EDUCATION,24250,0.08,2,Y,0
45,26,300000,OWN,9,HOMEIMPROVEMENT,10000,0.03,4,N,0
46,26,300000,MORTGAGE,0,EDUCATION,25000,0.08,3,N,0
47,25,300000,MORTGAGE,9,HOMEIMPROVEMENT,18000,0.06,3,N,0
48,26,80690,RENT,8,PERSONAL,30000,0.37,3,N,1
49,22,66300,RENT,4,MEDICAL,30000,0.45,3,N,1
50,26,89028,RENT,0,DEBTCONSOLIDATION,30000,0.34,3,N,1
51,24,78000,RENT,4,DEBTCONSOLIDATION,30000,0.38,4,Y,1
52,23,78000,RENT,7,DEBTCONSOLIDATION,30000,0.38,3,Y,1
53,23,92004,RENT,6,PERSONAL,30000,0.33,3,Y,1
54,23,97000,RENT,7,VENTURE,30000,0.31,2,N,1
55,25,120000,RENT,9,EDUCATION,30000,0.25,4,N,0
56,26,280000,RENT,4,PERSONAL,10000,0.04,3,Y,0
57,26,277104,RENT,0,VENTURE,20000,0.07,3,N,0
58,23,277000,OWN,3,PERSONAL,35000,0.13,4,N,0
59,25,128000,RENT,9,PERSONAL,30000,0.23,4,N,0
60,24,12000,OWN,2,VENTURE,1750,0.15,3,Y,0
61,21,131000,RENT,0,VENTURE,30000,0.23,4,N,0
62,22,275000,OWN,6,VENTURE,12000,0.04,2,N,0
63,26,263000,MORTGAGE,0,EDUCATION,10000,0.04,4,N,1
64,25,221850,MORTGAGE,9,MEDICAL,25000,0.11,2,N,1
65,22,70000,RENT,6,EDUCATION,29100,0.42,3,N,1
66,22,12000,MORTGAGE,7,EDUCATION,1500,0.12,3,Y,0
67,26,260000,OWN,10,HOMEIMPROVEMENT,28000,0.11,3,N,0
68,25,259000,MORTGAGE,9,HOMEIMPROVEMENT,20000,0.08,2,Y,0
69,24,255000,MORTGAGE,9,EDUCATION,9600,0.04,2,N,0
70,25,250000,RENT,2,MEDICAL,25000,0.1,4,N,0
71,25,12000,OWN,0,MEDICAL,3000,0.25,3,N,1
72,22,56950,RENT,6,MEDICAL,28000,0.49,2,N,1
73,21,12000,OWN,6,EDUCATION,3000,0.25,3,Y,1
74,23,65000,RENT,2,EDUCATION,28000,0.43,2,N,1
75,26,85000,RENT,2,VENTURE,28000,0.33,3,N,1
76,26,12000,OWN,2,EDUCATION,6100,0.51,3,N,1
77,22,88000,RENT,6,VENTURE,28000,0.32,3,N,1
78,21,12000,OWN,0,PERSONAL,4200,0.35,4,Y,1
79,22,12000,OWN,6,DEBTCONSOLIDATION,4750,0.4,2,N,1
80,24,83004,RENT,0,VENTURE,28000,0.34,4,Y,1
81,24,250000,RENT,2,EDUCATION,18000,0.07,3,Y,0
82,144,250000,RENT,4,VENTURE,4800,0.02,3,N,0
83,25,100000,RENT,5,DEBTCONSOLIDATION,28000,0.28,3,N,0
84,26,110000,RENT,10,EDUCATION,28000,0.25,2,N,0
85,26,12000,OWN,0,DEBTCONSOLIDATION,2700,0.22,4,N,1
86,22,108000,RENT,6,EDUCATION,28000,0.26,4,N,1
87,23,151200,RENT,7,DEBTCONSOLIDATION,28000,0.19,2,N,0
88,24,69000,RENT,2,HOMEIMPROVEMENT,27600,0.4,2,N,1
89,21,12000,MORTGAGE,5,DEBTCONSOLIDATION,3250,0.27,3,Y,1
90,22,70000,RENT,4,EDUCATION,27500,0.39,3,Y,1
91,22,240000,OWN,6,PERSONAL,25000,0.1,2,N,0
92,26,73200,RENT,5,VENTURE,27050,0.37,2,Y,1
93,24,83000,RENT,5,PERSONAL,27000,0.33,2,Y,1
94,24,73399,RENT,0,VENTURE,27000,0.37,3,N,1
95,23,62500,RENT,7,MEDICAL,26000,0.42,2,N,1
96,23,120000,RENT,1,EDUCATION,25600,0.21,3,N,0
97,24,12360,OWN,2,MEDICAL,1600,0.13,3,N,0
98,22,60000,RENT,0,VENTURE,25475,0.42,3,N,1
99,25,234000,MORTGAGE,3,MEDICAL,20000,0.09,4,Y,0
100,24,234000,OWN,8,HOMEIMPROVEMENT,20000,0.09,4,N,0
101,26,234000,MORTGAGE,10,HOMEIMPROVEMENT,21600,0.09,3,N,0
102,25,221004,MORTGAGE,6,DEBTCONSOLIDATION,11900,0.05,3,Y,1
103,26,232500,MORTGAGE,0,MEDICAL,25000,0.11,2,Y,0
104,25,230000,MORTGAGE,5,MEDICAL,35000,0.15,4,N,0
105,23,83000,RENT,7,EDUCATION,25300,0.3,3,N,1
106,22,12600,MORTGAGE,0,PERSONAL,2000,0.16,4,N,1
107,25,12600,OWN,3,PERSONAL,1750,0.14,3,N,0
108,21,42500,RENT,3,EDUCATION,25000,0.59,3,Y,1
109,24,41000,RENT,2,HOMEIMPROVEMENT,25000,0.61,3,N,1
110,25,12816,OWN,0,DEBTCONSOLIDATION,3000,0.23,4,Y,1
111,24,12960,MORTGAGE,1,HOMEIMPROVEMENT,3650,0.28,3,N,1
112,26,226000,MORTGAGE,4,HOMEIMPROVEMENT,20000,0.09,4,N,0
113,25,225000,MORTGAGE,0,HOMEIMPROVEMENT,30000,0.13,2,Y,0
114,26,213000,MORTGAGE,6,EDUCATION,35000,0.16,2,N,1
115,24,225000,RENT,0,MEDICAL,6000,0.03,4,N,0
116,24,12960,MORTGAGE,0,DEBTCONSOLIDATION,4500,0.35,4,N,1
117,23,12996,OWN,0,DEBTCONSOLIDATION,2400,0.18,2,Y,1
118,22,42000,RENT,6,MEDICAL,25000,0.6,2,Y,1
119,26,48000,RENT,2,EDUCATION,25000,0.52,4,N,1
120,25,12996,OWN,1,MEDICAL,3600,0.28,3,N,1
121,22,12996,OWN,1,EDUCATION,4750,0.37,3,N,1
122,25,42360,RENT,1,EDUCATION,25000,0.59,3,Y,1
123,21,49000,RENT,4,EDUCATION,25000,0.51,2,N,1
124,25,225000,MORTGAGE,0,VENTURE,25000,0.11,2,N,0
125,26,225000,RENT,1,EDUCATION,3000,0.01,4,N,0
126,23,225000,RENT,8,DEBTCONSOLIDATION,7500,0.03,2,N,0
127,26,225000,MORTGAGE,2,VENTURE,25000,0.11,2,N,0
128,22,49464,RENT,5,PERSONAL,25000,0.51,3,N,1
129,23,50000,RENT,1,DEBTCONSOLIDATION,25000,0.5,3,N,1
130,25,50000,RENT,4,HOMEIMPROVEMENT,25000,0.5,2,N,1
131,24,44000,RENT,2,DEBTCONSOLIDATION,25000,0.57,2,N,1
132,23,50000,RENT,1,VENTURE,25000,0.5,4,N,1
133,22,50004,RENT,0,VENTURE,25000,0.5,2,N,1
134,22,50004,RENT,3,VENTURE,25000,0.5,3,N,1
135,22,52000,RENT,2,EDUCATION,25000,0.48,4,N,1
136,23,13200,OWN,3,DEBTCONSOLIDATION,4950,0.38,4,N,1
137,24,220000,MORTGAGE,1,EDUCATION,25000,0.11,2,N,0
138,23,216000,MORTGAGE,5,DEBTCONSOLIDATION,21000,0.1,3,N,0
139,25,216000,MORTGAGE,2,EDUCATION,25000,0.12,3,N,0
140,26,216000,MORTGAGE,10,EDUCATION,20000,0.09,2,Y,0
141,23,215000,MORTGAGE,7,MEDICAL,35000,0.16,3,Y,0
142,26,215000,MORTGAGE,11,EDUCATION,12000,0.06,2,N,0
143,23,52000,RENT,1,PERSONAL,25000,0.48,2,N,1
144,26,46000,RENT,2,DEBTCONSOLIDATION,25000,0.54,4,N,1
145,22,53000,RENT,5,EDUCATION,25000,0.47,4,Y,1
146,26,47000,RENT,0,HOMEIMPROVEMENT,25000,0.53,2,Y,1
147,23,47000,RENT,1,VENTURE,25000,0.53,2,N,1
148,23,13200,MORTGAGE,2,EDUCATION,1400,0.11,4,N,0
149,21,13200,OWN,0,VENTURE,4500,0.34,4,N,1
150,22,210000,MORTGAGE,6,VENTURE,16000,0.08,4,N,0
151,26,210000,OWN,10,PERSONAL,22000,0.1,4,N,0
152,26,48000,RENT,5,VENTURE,25000,0.52,2,N,1
153,22,54996,RENT,6,EDUCATION,25000,0.45,4,N,1
154,24,55000,RENT,4,HOMEIMPROVEMENT,25000,0.45,4,Y,1
155,23,55000,RENT,4,EDUCATION,25000,0.45,3,N,1
156,23,55000,RENT,4,EDUCATION,25000,0.45,3,Y,1
157,24,55164,RENT,8,PERSONAL,25000,0.45,4,Y,1
158,26,56000,RENT,4,DEBTCONSOLIDATION,25000,0.45,2,N,1
159,24,203500,OWN,8,MEDICAL,20000,0.1,3,N,0
160,23,190000,MORTGAGE,5,EDUCATION,22000,0.12,3,Y,1
161,23,13920,OWN,2,PERSONAL,7750,0.56,4,N,1
162,24,60000,RENT,0,PERSONAL,25000,0.42,3,N,1
163,24,60000,RENT,2,PERSONAL,25000,0.42,3,N,1
164,26,54000,RENT,7,DEBTCONSOLIDATION,25000,0.46,2,Y,1
165,23,14000,OWN,2,DEBTCONSOLIDATION,4000,0.29,3,N,1
166,24,200000,RENT,8,MEDICAL,12000,0.06,2,N,0
167,24,200000,MORTGAGE,8,HOMEIMPROVEMENT,12000,0.06,2,N,0
168,21,200000,MORTGAGE,5,EDUCATION,16000,0.08,4,N,0
169,25,54000,RENT,3,HOMEIMPROVEMENT,25000,0.46,4,N,1
170,23,60000,RENT,3,PERSONAL,25000,0.42,3,N,1
171,23,60000,RENT,7,PERSONAL,25000,0.42,4,N,1
172,21,60000,RENT,6,EDUCATION,25000,0.42,4,N,1
173,25,61959,RENT,9,MEDICAL,25000,0.4,2,N,1
174,22,56400,RENT,2,HOMEIMPROVEMENT,25000,0.44,3,Y,1
175,23,200000,MORTGAGE,7,EDUCATION,28000,0.14,2,N,0
176,21,200000,MORTGAGE,2,DEBTCONSOLIDATION,25000,0.12,2,N,0
177,24,200000,MORTGAGE,3,VENTURE,24000,0.12,4,N,0
178,26,200000,MORTGAGE,4,EDUCATION,15000,0.08,3,N,0
179,25,200000,MORTGAGE,2,DEBTCONSOLIDATION,15500,0.08,2,N,0
180,24,200000,RENT,8,EDUCATION,10000,0.05,4,N,0
181,24,66000,RENT,3,EDUCATION,25000,0.38,2,N,1
182,22,66000,RENT,6,EDUCATION,25000,0.38,3,Y,1
183,22,200000,MORTGAGE,6,DEBTCONSOLIDATION,9000,0.04,4,N,0
184,144,200000,MORTGAGE,4,EDUCATION,6000,0.03,2,N,0
185,25,200000,RENT,5,EDUCATION,18000,0.09,3,N,0
186,25,200000,MORTGAGE,2,VENTURE,12000,0.06,2,N,0
187,25,200000,MORTGAGE,9,PERSONAL,23050,0.12,3,N,0
188,24,200000,MORTGAGE,8,DEBTCONSOLIDATION,20000,0.1,3,N,0
189,24,60000,RENT,2,DEBTCONSOLIDATION,25000,0.42,2,Y,1
190,21,14400,OWN,0,HOMEIMPROVEMENT,3000,0.21,4,N,1
191,26,66996,RENT,10,PERSONAL,25000,0.37,2,Y,1
192,23,67000,RENT,3,EDUCATION,25000,0.37,4,N,1
193,24,67000,RENT,2,VENTURE,25000,0.37,3,N,1
194,24,68000,RENT,5,PERSONAL,25000,0.37,3,Y,1
195,25,69000,RENT,9,PERSONAL,25000,0.36,2,N,1
196,25,200000,MORTGAGE,0,EDUCATION,12000,0.06,3,N,0
197,26,188000,MORTGAGE,10,VENTURE,20000,0.11,2,N,1
198,26,200000,MORTGAGE,4,PERSONAL,3000,0.02,3,N,0
199,25,69996,RENT,9,EDUCATION,25000,0.36,3,N,1
200,22,14400,OWN,2,MEDICAL,4000,0.28,3,N,1
201,24,70000,RENT,3,EDUCATION,25000,0.36,4,N,1
202,24,14400,OWN,5,PERSONAL,6000,0.42,3,N,1
203,24,56100,RENT,7,MEDICAL,25000,0.45,4,N,1
204,25,66000,RENT,9,VENTURE,25000,0.38,2,Y,1
205,26,66000,RENT,3,HOMEIMPROVEMENT,25000,0.38,4,N,1
206,25,14400,OWN,7,EDUCATION,5375,0.37,2,N,1
207,25,72612,RENT,9,MEDICAL,25000,0.34,2,N,1
208,23,74000,RENT,3,MEDICAL,25000,0.34,3,N,1
209,25,75000,RENT,9,DEBTCONSOLIDATION,25000,0.33,2,N,1
210,24,192000,RENT,0,MEDICAL,22000,0.11,2,Y,0
211,21,192000,MORTGAGE,50,VENTURE,20000,0.1,4,N,0
212,25,191000,MORTGAGE,1,MEDICAL,10000,0.05,4,N,0
213,26,190300,MORTGAGE,5,PERSONAL,15000,0.08,3,N,0
214,22,190000,MORTGAGE,3,VENTURE,10000,0.05,3,N,0
215,24,75000,RENT,4,EDUCATION,25000,0.33,4,N,1
216,22,71000,RENT,1,EDUCATION,25000,0.35,4,Y,1
217,26,190000,MORTGAGE,3,VENTURE,20000,0.11,4,N,0
218,23,189996,OWN,0,PERSONAL,24000,0.13,3,N,0
219,23,78000,RENT,7,DEBTCONSOLIDATION,25000,0.32,2,Y,1
220,23,78000,RENT,1,VENTURE,25000,0.32,3,N,1
221,23,78504,RENT,7,VENTURE,25000,0.32,3,N,1
222,25,186000,OWN,9,VENTURE,10000,0.05,4,N,0
223,24,185000,MORTGAGE,0,EDUCATION,35000,0.19,2,N,0
224,25,185000,RENT,6,VENTURE,15000,0.08,2,N,0
225,24,62050,RENT,8,MEDICAL,25000,0.4,2,Y,1
226,23,79416,RENT,7,VENTURE,25000,0.31,2,Y,1
227,21,14400,OWN,4,VENTURE,6250,0.43,2,N,1
228,24,79631,RENT,8,PERSONAL,25000,0.31,2,Y,1
229,24,79632,RENT,0,EDUCATION,25000,0.31,4,N,1
230,21,14400,MORTGAGE,0,MEDICAL,1500,0.1,4,N,0
231,24,80000,RENT,6,EDUCATION,25000,0.31,2,N,1
232,26,80000,RENT,5,DEBTCONSOLIDATION,25000,0.31,4,N,1
233,22,185000,RENT,4,MEDICAL,25000,0.14,2,N,0
234,26,185000,OWN,10,PERSONAL,5000,0.03,2,N,0
235,24,184992,RENT,7,HOMEIMPROVEMENT,22000,0.12,4,Y,0
236,23,184000,OWN,5,EDUCATION,2500,0.01,2,N,0
237,24,172000,MORTGAGE,6,DEBTCONSOLIDATION,20000,0.12,4,Y,1
238,24,183000,MORTGAGE,2,MEDICAL,20000,0.11,3,N,0
239,22,183000,MORTGAGE,3,EDUCATION,1000,0.01,2,N,0
240,25,182952,MORTGAGE,9,PERSONAL,15000,0.08,3,N,0
241,23,74004,RENT,7,DEBTCONSOLIDATION,25000,0.34,4,N,1
242,26,74004,RENT,10,DEBTCONSOLIDATION,25000,0.34,4,Y,1
243,25,81000,RENT,5,DEBTCONSOLIDATION,25000,0.31,3,N,1
244,23,81600,RENT,1,MEDICAL,25000,0.31,3,N,1
245,24,82000,RENT,8,VENTURE,25000,0.3,2,N,0
246,24,83000,RENT,5,EDUCATION,25000,0.3,3,N,0
247,24,83000,RENT,5,PERSONAL,25000,0.3,3,Y,0
248,24,180000,RENT,8,EDUCATION,18000,0.1,4,Y,0
249,23,180000,MORTGAGE,8,PERSONAL,28000,0.16,3,N,0
250,23,14400,OWN,2,HOMEIMPROVEMENT,4000,0.28,2,N,1
251,22,14400,OWN,0,PERSONAL,2100,0.15,4,N,0
252,22,84500,RENT,6,PERSONAL,25000,0.3,4,N,0
253,24,85000,RENT,5,MEDICAL,25000,0.29,4,N,0
254,24,180000,MORTGAGE,7,VENTURE,14000,0.08,2,N,0
255,26,180000,MORTGAGE,2,VENTURE,12000,0.07,4,N,0
256,25,142800,MORTGAGE,9,MEDICAL,10000,0.07,4,N,1
257,23,14664,MORTGAGE,0,DEBTCONSOLIDATION,6000,0.41,4,N,1
258,24,87000,RENT,8,HOMEIMPROVEMENT,25000,0.29,3,N,0
259,24,75000,RENT,0,VENTURE,25000,0.33,3,Y,1
260,23,76000,RENT,7,DEBTCONSOLIDATION,25000,0.33,4,N,1
261,23,66215,RENT,1,MEDICAL,25000,0.38,2,Y,1
262,25,90000,RENT,9,MEDICAL,25000,0.28,4,N,0
263,21,15000,OWN,0,HOMEIMPROVEMENT,6200,0.41,2,N,1
264,26,180000,OWN,2,PERSONAL,25000,0.14,4,N,0
265,24,180000,OWN,8,EDUCATION,21000,0.12,3,N,0
266,25,180000,OWN,9,MEDICAL,20000,0.11,4,Y,0
267,26,180000,OWN,0,HOMEIMPROVEMENT,10000,0.06,4,N,0
268,25,180000,MORTGAGE,3,VENTURE,9950,0.06,2,N,0
269,23,15000,OWN,7,MEDICAL,4475,0.3,4,N,1
270,23,78000,RENT,2,VENTURE,25000,0.32,3,Y,1
271,25,66300,RENT,3,MEDICAL,25000,0.38,4,Y,1
272,23,90000,RENT,0,DEBTCONSOLIDATION,25000,0.28,3,N,0
273,24,79000,RENT,9,DEBTCONSOLIDATION,25000,0.32,4,Y,1
274,24,91800,RENT,4,PERSONAL,25000,0.27,3,Y,0
275,25,92000,RENT,6,HOMEIMPROVEMENT,25000,0.27,3,N,0
276,24,92000,RENT,1,VENTURE,25000,0.27,4,Y,0
277,23,93600,RENT,3,VENTURE,25000,0.27,4,N,0
278,23,15000,MORTGAGE,1,MEDICAL,1750,0.12,3,Y,0
279,23,70550,RENT,3,MEDICAL,25000,0.35,4,Y,1
280,25,83800,RENT,2,DEBTCONSOLIDATION,25000,0.3,3,Y,1
281,26,175000,MORTGAGE,3,VENTURE,2600,0.01,4,N,0
282,25,175000,MORTGAGE,10,HOMEIMPROVEMENT,8000,0.05,2,N,0
283,22,175000,MORTGAGE,6,EDUCATION,18000,0.1,2,N,0
284,23,175000,MORTGAGE,8,PERSONAL,21000,0.12,3,N,0
285,23,15000,OWN,4,DEBTCONSOLIDATION,4000,0.27,4,N,1
286,23,15000,OWN,4,VENTURE,4600,0.31,2,N,1
287,22,88000,RENT,6,DEBTCONSOLIDATION,25000,0.28,2,Y,1
288,25,74800,RENT,2,MEDICAL,25000,0.33,2,N,1
289,25,88000,RENT,0,VENTURE,25000,0.28,4,N,1
290,25,15000,OWN,2,HOMEIMPROVEMENT,1750,0.12,4,Y,0
291,26,88000,RENT,2,VENTURE,25000,0.28,3,N,1
292,25,100000,RENT,1,VENTURE,25000,0.25,4,N,0
293,23,15000,MORTGAGE,0,PERSONAL,3600,0.24,4,N,1
294,24,102400,RENT,8,PERSONAL,25000,0.24,3,N,0
295,24,92000,RENT,1,HOMEIMPROVEMENT,25000,0.27,4,Y,1
296,23,93000,RENT,0,DEBTCONSOLIDATION,25000,0.27,2,Y,1
297,22,175000,RENT,6,VENTURE,3500,0.02,2,Y,0
298,23,175000,MORTGAGE,3,EDUCATION,7200,0.04,3,N,0
299,25,174708,RENT,9,VENTURE,9000,0.05,3,N,0
300,25,174000,MORTGAGE,2,DEBTCONSOLIDATION,8800,0.05,3,N,0
301,26,174000,RENT,8,DEBTCONSOLIDATION,12000,0.07,4,N,0
302,25,162000,MORTGAGE,5,DEBTCONSOLIDATION,25000,0.15,3,Y,1
303,26,173467,MORTGAGE,10,VENTURE,10000,0.06,4,N,0
304,21,15000,OWN,0,HOMEIMPROVEMENT,3175,0.21,3,Y,1
305,25,96000,RENT,2,HOMEIMPROVEMENT,25000,0.26,4,Y,1
306,21,15120,MORTGAGE,0,EDUCATION,1500,0.1,2,N,0
307,24,97908,RENT,8,HOMEIMPROVEMENT,25000,0.26,2,Y,1
308,26,110000,RENT,3,PERSONAL,25000,0.23,2,Y,0
309,23,15204,MORTGAGE,7,PERSONAL,2800,0.18,3,N,1
310,25,159600,RENT,0,PERSONAL,30000,0.19,4,Y,1
311,24,171500,RENT,6,DEBTCONSOLIDATION,18000,0.1,4,N,0
312,25,170004,MORTGAGE,3,MEDICAL,10000,0.06,4,N,0
313,24,158004,RENT,0,HOMEIMPROVEMENT,25000,0.16,2,Y,1
314,26,170000,RENT,0,VENTURE,13000,0.08,3,N,0
315,24,83300,RENT,0,MEDICAL,25000,0.3,2,N,1
316,24,110000,RENT,7,HOMEIMPROVEMENT,25000,0.23,2,Y,0
317,22,15360,OWN,7,HOMEIMPROVEMENT,2500,0.16,3,N,1
318,25,134300,RENT,3,MEDICAL,5000,0.04,2,N,1
319,25,170000,MORTGAGE,2,EDUCATION,20000,0.12,2,N,0
320,22,100580,RENT,6,DEBTCONSOLIDATION,25000,0.25,2,Y,1
321,25,113000,RENT,7,MEDICAL,25000,0.22,4,Y,0
322,24,120000,RENT,8,EDUCATION,25000,0.21,4,N,0
323,25,120000,RENT,6,MEDICAL,25000,0.21,2,N,0
324,23,120000,RENT,7,EDUCATION,25000,0.21,2,N,0
325,24,91800,RENT,5,MEDICAL,25000,0.27,2,Y,1
326,21,15600,OWN,5,VENTURE,1000,0.06,4,N,0
327,26,108000,RENT,2,PERSONAL,25000,0.23,3,N,1
328,26,129996,RENT,6,PERSONAL,25000,0.19,3,N,0
329,23,130000,RENT,4,EDUCATION,25000,0.19,2,Y,0
330,23,130000,RENT,7,VENTURE,25000,0.19,4,N,0
331,25,170000,OWN,4,EDUCATION,20000,0.12,4,N,0
332,26,170000,MORTGAGE,0,VENTURE,12000,0.07,2,Y,0
333,22,169000,RENT,1,PERSONAL,14000,0.08,3,N,0
334,26,168750,RENT,10,MEDICAL,24250,0.14,3,Y,0
335,23,168600,RENT,3,EDUCATION,20000,0.12,3,N,0
336,24,168288,RENT,5,HOMEIMPROVEMENT,1800,0.01,3,N,0
337,25,168000,MORTGAGE,2,PERSONAL,35000,0.21,2,N,0
338,24,133300,RENT,6,DEBTCONSOLIDATION,25000,0.19,2,N,0
339,24,15600,OWN,5,HOMEIMPROVEMENT,3300,0.21,4,N,1
340,24,134000,RENT,8,PERSONAL,25000,0.19,3,Y,0
341,25,134000,RENT,7,MEDICAL,25000,0.19,2,N,0
342,25,15600,OWN,0,VENTURE,3200,0.21,2,N,1
343,25,135000,RENT,5,EDUCATION,25000,0.19,4,N,0
344,26,135660,RENT,10,DEBTCONSOLIDATION,25000,0.18,4,N,0
345,25,145000,RENT,0,EDUCATION,25000,0.17,4,N,0
346,23,150000,RENT,4,EDUCATION,25000,0.17,3,N,0
347,23,165000,MORTGAGE,3,EDUCATION,9600,0.06,3,N,0
348,22,153000,MORTGAGE,5,DEBTCONSOLIDATION,24000,0.16,2,Y,1
349,24,165000,MORTGAGE,5,PERSONAL,20000,0.12,4,N,0
350,25,165000,MORTGAGE,0,HOMEIMPROVEMENT,25000,0.15,4,N,0
351,21,165000,MORTGAGE,5,EDUCATION,20000,0.12,4,N,0
352,23,16000,OWN,7,MEDICAL,6000,0.38,2,N,1
353,23,16000,MORTGAGE,3,DEBTCONSOLIDATION,2275,0.14,4,Y,0
354,23,16000,OWN,7,PERSONAL,2000,0.12,3,N,0
355,23,148000,RENT,1,DEBTCONSOLIDATION,25000,0.17,3,N,1
356,23,16000,MORTGAGE,1,MEDICAL,5600,0.35,4,N,1
357,24,16020,OWN,3,VENTURE,3625,0.23,2,Y,1
358,22,16094,MORTGAGE,2,VENTURE,5500,0.34,3,N,1
359,25,175000,RENT,2,PERSONAL,25000,0.14,2,N,0
360,22,16200,OWN,6,PERSONAL,2000,0.12,3,N,0
361,24,185000,RENT,7,HOMEIMPROVEMENT,25000,0.14,2,Y,0
362,25,162000,RENT,9,PERSONAL,25000,0.15,2,N,0
363,26,161000,RENT,10,VENTURE,30000,0.19,4,N,0
364,22,160000,MORTGAGE,0,MEDICAL,35000,0.22,4,N,0
365,25,225000,RENT,5,VENTURE,25000,0.11,4,N,0
366,25,16400,OWN,1,PERSONAL,5000,0.3,4,N,1
367,23,16500,OWN,6,VENTURE,4375,0.27,4,N,1
368,25,49500,RENT,6,PERSONAL,24750,0.5,3,N,1
369,23,60000,RENT,4,DEBTCONSOLIDATION,24750,0.41,3,N,1
370,24,84200,RENT,8,MEDICAL,24500,0.29,4,N,0
371,22,16800,MORTGAGE,5,EDUCATION,2000,0.12,2,N,0
372,24,92000,RENT,8,MEDICAL,24500,0.27,4,N,0
373,23,160000,MORTGAGE,5,PERSONAL,35000,0.22,2,N,0
374,24,160000,MORTGAGE,9,VENTURE,12000,0.08,4,N,0
375,25,160000,MORTGAGE,1,PERSONAL,12000,0.08,4,N,0
376,26,160000,RENT,6,PERSONAL,25000,0.16,4,Y,0
377,25,125800,MORTGAGE,0,MEDICAL,10000,0.08,4,N,1
378,25,54000,RENT,2,PERSONAL,24250,0.45,4,N,1
379,23,62500,RENT,1,EDUCATION,24250,0.39,4,N,1
380,24,16800,MORTGAGE,0,DEBTCONSOLIDATION,3900,0.23,3,N,1
381,25,68400,RENT,9,PERSONAL,24250,0.35,4,N,1
382,26,56045,RENT,1,MEDICAL,24250,0.43,2,N,1
383,22,74000,RENT,7,DEBTCONSOLIDATION,24250,0.33,2,Y,1
384,24,65453,RENT,9,MEDICAL,24250,0.37,2,N,1
385,24,89908,RENT,1,VENTURE,24250,0.27,3,N,0
386,26,78000,RENT,0,HOMEIMPROVEMENT,24250,0.31,3,Y,1
